num_users,num_trans,malicious_users,good_users,good_successes,good_transacts,strategy,success_rate,mal_percent,algorithm,trace
200.0,2000.0,80.0,120.0,1170.0,1216.0,naive,96.2171052631579,40,SocialTrust,trace_20202
200.0,2000.0,80.0,120.0,1157.0,1216.0,collective,95.14802631578947,40,WhatsTrust+URL,trace_20202
200.0,2000.0,120.0,80.0,771.0,828.0,collective,93.11594202898551,60,EigenTrust,trace_20203
200.0,2000.0,120.0,80.0,789.0,828.0,naive,95.28985507246377,60,SocialTrust,trace_20203
200.0,2000.0,120.0,80.0,796.0,828.0,collective,96.1352657004831,60,WhatsTrust+URL,trace_20203
200.0,2500.0,40.0,160.0,1906.0,1982.0,collective,96.16548940464178,20,EigenTrust,trace_20251
200.0,2500.0,80.0,120.0,1412.0,1480.0,collective,95.4054054054054,40,EigenTrust,trace_20252
200.0,2500.0,120.0,80.0,914.0,1038.0,collective,88.0539499036609,60,EigenTrust,trace_20253
200.0,3000.0,40.0,160.0,2384.0,2393.0,collective,99.62390305056414,20,EigenTrust,trace_20301
200.0,3000.0,80.0,120.0,1760.0,1823.0,collective,96.54415798134941,40,EigenTrust,trace_20302
200.0,3000.0,120.0,80.0,976.0,1162.0,collective,83.99311531841653,60,EigenTrust,trace_20303
200.0,3500.0,40.0,160.0,2774.0,2785.0,collective,99.60502692998205,20,EigenTrust,trace_20351
200.0,3500.0,80.0,120.0,1957.0,2082.0,collective,93.99615754082613,40,EigenTrust,trace_20352
200.0,3500.0,120.0,80.0,1295.0,1396.0,collective,92.76504297994269,60,EigenTrust,trace_20353
200.0,4000.0,40.0,160.0,3080.0,3220.0,collective,95.65217391304348,20,EigenTrust,trace_20401
200.0,4000.0,80.0,120.0,2129.0,2422.0,collective,87.90255986787778,40,EigenTrust,trace_20402
200.0,4000.0,120.0,80.0,1411.0,1604.0,collective,87.96758104738154,60,EigenTrust,trace_20403
300.0,1000.0,60.0,240.0,777.0,808.0,collective,96.16336633663366,20,EigenTrust,trace_30101
300.0,1000.0,60.0,240.0,780.0,808.0,collective,96.53465346534654,20,SocialTrust,trace_30101
300.0,1000.0,60.0,240.0,778.0,808.0,collective,96.28712871287128,20,WhatsTrust+URL,trace_30101
300.0,1000.0,120.0,180.0,536.0,577.0,collective,92.89428076256499,40,EigenTrust,trace_30102
300.0,1000.0,120.0,180.0,554.0,577.0,collective,96.01386481802426,40,SocialTrust,trace_30102
300.0,1000.0,120.0,180.0,552.0,577.0,collective,95.66724436741768,40,WhatsTrust+URL,trace_30102
300.0,1000.0,180.0,120.0,403.0,410.0,collective,98.29268292682927,60,EigenTrust,trace_30103
300.0,1000.0,180.0,120.0,397.0,410.0,collective,96.82926829268293,60,SocialTrust,trace_30103
300.0,1000.0,180.0,120.0,393.0,410.0,collective,95.85365853658536,60,WhatsTrust+URL,trace_30103
300.0,1500.0,60.0,240.0,1069.0,1187.0,collective,90.05897219882056,20,EigenTrust,trace_30151
300.0,1500.0,120.0,180.0,857.0,895.0,collective,95.75418994413408,40,EigenTrust,trace_30152
300.0,1500.0,180.0,120.0,566.0,601.0,collective,94.17637271214643,60,EigenTrust,trace_30153
300.0,2000.0,60.0,240.0,1601.0,1603.0,collective,99.87523393636931,20,EigenTrust,trace_30201
300.0,2000.0,60.0,240.0,1557.0,1603.0,naive,97.13038053649407,20,SocialTrust,trace_30201
300.0,2000.0,60.0,240.0,1546.0,1603.0,collective,96.44416718652526,20,WhatsTrust+URL,trace_30201
300.0,2000.0,120.0,180.0,1070.0,1185.0,collective,90.29535864978902,40,EigenTrust,trace_30202
300.0,2000.0,120.0,180.0,1135.0,1185.0,naive,95.78059071729957,40,SocialTrust,trace_30202
300.0,2000.0,120.0,180.0,1142.0,1185.0,collective,96.37130801687763,40,WhatsTrust+URL,trace_30202
300.0,2000.0,180.0,120.0,647.0,747.0,collective,86.61311914323963,60,EigenTrust,trace_30203
300.0,2000.0,180.0,120.0,723.0,747.0,naive,96.78714859437751,60,SocialTrust,trace_30203
300.0,2000.0,180.0,120.0,705.0,747.0,collective,94.37751004016064,60,WhatsTrust+URL,trace_30203
300.0,2500.0,40.0,260.0,1812.0,2198.0,collective,82.4385805277525,13,EigenTrust,trace_30251
300.0,2500.0,80.0,220.0,1775.0,1854.0,collective,95.73894282632148,26,EigenTrust,trace_30252
300.0,2500.0,180.0,120.0,894.0,990.0,collective,90.30303030303031,60,EigenTrust,trace_30253
300.0,3000.0,60.0,240.0,2206.0,2362.0,collective,93.39542760372565,20,EigenTrust,trace_30301
300.0,3000.0,120.0,180.0,1773.0,1839.0,collective,96.4110929853181,40,EigenTrust,trace_30302
300.0,3000.0,180.0,120.0,1088.0,1190.0,collective,91.42857142857143,60,EigenTrust,trace_30303
300.0,3500.0,60.0,240.0,2662.0,2799.0,collective,95.10539478385137,20,EigenTrust,trace_30351
300.0,3500.0,120.0,180.0,1982.0,2120.0,collective,93.49056603773585,40,EigenTrust,trace_30352
300.0,3500.0,180.0,120.0,1297.0,1388.0,collective,93.44380403458213,60,EigenTrust,trace_30353
300.0,4000.0,60.0,240.0,3117.0,3185.0,collective,97.86499215070643,20,EigenTrust,trace_30401
300.0,4000.0,120.0,180.0,2356.0,2415.0,collective,97.55693581780538,40,EigenTrust,trace_30402
300.0,4000.0,180.0,120.0,1488.0,1622.0,collective,91.73859432799013,60,EigenTrust,trace_30403
